SITE,Waterbody,Year,LATITUDE,LONGITUDE,Easting,Northing,TMEAN,TRANGE,Altitude,Slope,Discharge,Dist_from_Source,Alkalinity,Mean_Width,Mean_Depth,Boulder_Cobbles,Pebbles_Gravel,Sand,Silt_Clay,lat_raw,lon_raw,EG7,EG43
0007,Aber/Rhaeadr-fawr,1980,53.23,-4.01,265700,372700,10.29,10.38,35,40,1,6,14.5,5,23,85,15,0,0,422866.2692,250000,2,16
0101,Camel,1980,50.61,-4.68,210400,82700,10.82,9.76,170,12,3,7,19.2,4.5,13.3,42,42,17,0,151716.3543,215136.6279,3,26
0103,Camel,1980,50.57,-4.7,208800,77800,10.84,9.73,95,7.5,4,11,16.4,4.3,17.8,64,27,8,0,147576.661,214095.9302,3,26
0105,Camel,1980,50.51,-4.73,206500,71500,10.9,9.66,35,6.7,5,20,14,5,26.9,53,41,6,0,141367.121,212534.8837,3,21
0107,Camel,1980,50.48,-4.8,201500,68500,10.95,9.52,12,3.5,6,28,21.8,5,23.3,54,36,11,0,138262.3509,208892.4419,3,18
0181,DeLank River,1980,50.55,-4.66,211400,75800,10.87,9.77,205,8,4,9,5.7,5.8,29.9,30,58,5,7,145506.8143,216177.3256,3,25
0185,DeLank River,1980,50.53,-4.7,208900,73900,10.88,9.73,65,13.3,4,13,6.5,7.9,34,56,29,7,9,143436.9676,214095.9302,3,25
0201,Axe,1980,50.84,-2.77,345700,105300,10.52,11.48,88,6.7,1,4,218.2,2.3,13,4,46,23,26,175519.5911,314523.2558,6,38
0203,Axe,1980,50.85,-2.85,340200,106000,10.49,11.41,82,4.3,2,9,185.1,4.2,18.9,13,82,1,4,176554.5145,310360.4651,5,32
0205,Axe,1980,50.82,-2.96,332600,102500,10.5,11.27,46,3.3,4,20,177.7,6.5,35.9,19,75,3,3,173449.7445,304636.6279,5,32
0207,Axe,1980,50.75,-3.05,326200,95300,10.65,11.2,9,2.5,5,30,145.7,13.3,27.8,41,52,5,2,166205.2811,299953.4884,5,32
0221,Synderford,1980,50.83,-2.88,338300,103700,10.51,11.26,95,10,1,3.9,83.8,2.9,12.6,18,52,9,20,174484.6678,308799.4186,4,27
0223,Blackwater,1980,50.8,-2.91,335800,101000,10.54,11.27,75,8.3,1,3.5,61.2,3.9,13.7,25,57,4,14,171379.8978,307238.3721,4,27
0225,Kit Brook,1980,50.83,-2.98,330800,103900,10.49,11.3,70,9.1,2,4,133.8,3,16.9,7,78,10,4,174484.6678,303595.9302,4,27
0227,Yarty,1980,50.87,-3.06,325600,108000,10.47,11.37,90,8.3,3,10.3,95.4,4.8,23.2,50,45,3,2,178624.3612,299433.1395,3,26
0229,Yarty,1980,50.78,-3.02,328300,98300,10.58,11.28,25,3.8,4,21,103.4,8,25.4,27,39,14,20,169310.0511,301514.5349,5,32
0231,Corry Brook,1980,50.79,-3.04,327000,99100,10.57,11.27,35,7.1,2,10.6,67,3.3,22.2,17,45,21,18,170344.9744,300473.8372,5,35
0233,Umbourne Brook,1980,50.77,-3.08,324000,96900,10.61,11.28,35,8.3,1,10.5,89,6.7,28.8,18,44,20,17,168275.1278,298392.4419,6,40
0301,Exe,1980,51.15,-3.73,279100,140700,10.73,10.86,364,10,1,4,26.8,1.9,7.6,77,23,0,0,207602.2147,264569.7674,2,8
0303,Exe,1980,51.13,-3.64,285300,138300,10.65,10.95,255,30,3,9,26.8,3.3,10.1,54,44,2,0,205532.368,269252.907,3,21
0305,Exe,1980,51.1,-3.55,291200,134200,10.56,11.23,190,12,4,17,30,6.2,16.8,55,44,0,0,202427.598,273936.0465,3,21
0307,Exe,1980,51.01,-3.53,293000,124500,10.52,11.41,120,3.3,6,29,24.4,9.7,18.3,77,21,0,3,193113.2879,274976.7442,3,17
0309,Exe,1980,50.93,-3.5,294800,115300,10.52,11.41,70,1.4,7,41,32.5,7.3,18.2,89,11,0,1,184833.9012,276537.7907,3,18
0311,Exe,1980,50.77,-3.52,292900,98400,10.56,11.34,20,1.6,7,59,58.4,16,21.7,63,33,5,0,168275.1278,275497.093,3,17
0313,Exe,1980,50.72,-3.54,291300,92800,10.56,11.34,9,0.6,8,78,62.6,66.7,143.9,33,53,6,7,163100.5111,274456.3953,7,41
0381,Barle,1980,51.15,-3.82,272400,140600,10.78,10.64,385,16.7,1,2,14.1,2.7,18.7,78,19,2,0,207602.2147,259886.6279,2,8
0385,Barle,1980,51.12,-3.72,279800,136900,10.64,10.87,275,8.3,3,12.5,14.1,14.3,22.8,79,19,1,1,204497.4446,265090.1163,3,25
