Kingdom,Phylum_division,Subphylum,Superclass,Class,Order,Family,Genus,Latin
animalia,arthropoda,hexapoda,NA,insecta,coleoptera,dytiscidae,unknown (dytiscidae family),unknown (dytiscidae family)
animalia,arthropoda,hexapoda,NA,insecta,hemiptera,notonectidae,unknown (notonectidae family),unknown (notonectidae family)
animalia,mollusca,NA,NA,gastropoda,NA,physidae,unknown (physidae family),unknown (physidae family)
animalia,mollusca,NA,NA,gastropoda,NA,planorbidae,unknown (planorbidae family),unknown (planorbidae family)
animalia,arthropoda,hexapoda,NA,insecta,hemiptera,gerridae,unknown (gerridae family),unknown (gerridae family)
animalia,arthropoda,hexapoda,NA,insecta,diptera,culicidae,unknown (culicidae family),unknown (culicidae family)
animalia,arthropoda,hexapoda,NA,insecta,hemiptera,pleidae,plea,plea minutissima
animalia,arthropoda,hexapoda,NA,insecta,hemiptera,corixidae,unknown (corixidae family),unknown (corixidae family)
animalia,arthropoda,hexapoda,NA,insecta,diptera,chironomidae,unknown (chironomidae family),unknown (chironomidae family)
animalia,arthropoda,hexapoda,NA,insecta,ephemeroptera,caenidae,caenis,caenis horaria
animalia,arthropoda,hexapoda,NA,insecta,ephemeroptera,baetidae,cloeon,cloeon dipterum
animalia,annelida,NA,NA,clitellata,haplotaxida,naididae,dero,dero digitata
animalia,annelida,NA,NA,clitellata,rhynchobdellida,glossiphoniidae,glossiphonia,unknown (glossiphonia genus)
animalia,mollusca,NA,NA,gastropoda,architaenioglossa,viviparidae,bellamya,bellamya purificata
animalia,mollusca,NA,NA,gastropoda,architaenioglossa,viviparidae,angulyagra,angulyagra
animalia,mollusca,NA,NA,gastropoda,NA,physidae,physa,physa acuta
animalia,mollusca,NA,NA,gastropoda,architaenioglossa,ampullariidae,pomacea,unknown (pomacea genus)
animalia,mollusca,NA,NA,gastropoda,NA,thiaridae,melanoides,melanoides tuberculata
animalia,mollusca,NA,NA,gastropoda,NA,planorbidae,hippeutis,hippeutis cantori
animalia,mollusca,NA,NA,gastropoda,basommatophora,ferrissidae,unknown (ferrissidae family),unknown (ferrissidae family)
animalia,arthropoda,hexapoda,NA,insecta,odonata,zygoptera,unknown (zygoptera clade),unknown (zygoptera clade)
animalia,arthropoda,hexapoda,NA,insecta,ephemeroptera,baetidae,cloeon,unknown (cloeon genus)
animalia,arthropoda,hexapoda,NA,insecta,odonata,macromiidae,macromia,unknown (macromia genus)
animalia,arthropoda,hexapoda,NA,insecta,hemiptera,naucoridae,unknown (naucoridae family),unknown (naucoridae family)
animalia,arthropoda,hexapoda,NA,insecta,diptera,chironomidae,chironomus,unknown (chironomus genus)
animalia,arthropoda,hexapoda,NA,insecta,hemiptera,nepidae,unknown (nepidae family),unknown (nepidae family)
animalia,arthropoda,hexapoda,NA,insecta,diptera,stratiomyidae,unknown (stratiomyidae family),unknown (stratiomyidae family)
animalia,arthropoda,hexapoda,NA,insecta,hemiptera,gerridae,gerris,unknown (gerris genus)
animalia,arthropoda,hexapoda,NA,insecta,coleoptera,elmidae,unknown (elmidae family),unknown (elmidae family)
animalia,arthropoda,chelicerata,NA,arachnida,trombidiformes,unknown (hydrachnellae family),unknown (hydrachnellae family),unknown (hydrachnellae family)
animalia,arthropoda,crustacea,NA,branchiopoda,diplostraca,daphniidae,simocephalus,unknown (simocephalus genus)
animalia,arthropoda,crustacea,NA,branchiopoda,diplostraca,chydoridae,chydorus,unknown (chydorus genus)
animalia,arthropoda,crustacea,NA,branchiopoda,diplostraca,chydoridae,alona,unknown (alona genus)
animalia,arthropoda,crustacea,multicrustacea,hexanauplia,cyclopoida,unknown (cyclopoida order),unknown (cyclopoida order),unknown (cyclopoida order)
animalia,arthropoda,crustacea,multicrustacea,malacostraca,amphipoda,gammaridae,echinogammarus,echinogammarus
animalia,arthropoda,chelicerata,NA,arachnida,trombidiformes,hydrachnidia,unknown (hydrachnidia family),unknown (hydrachnidia family)
animalia,arthropoda,hexapoda,NA,insecta,diptera,chironomidae,unknown (chironomidae family),unknown (chironomidae family)
animalia,arthropoda,hexapoda,NA,insecta,diptera,chironomidae,unknown (chironomidae family),unknown (chironomidae family)
animalia,arthropoda,hexapoda,NA,insecta,odonata,anisoptera,unknown (ansioptera clade),unknown (ansioptera clade)
animalia,arthropoda,hexapoda,NA,insecta,trichoptera,unknown (trichoptera order),unknown (trichoptera order),unknown (trichoptera order)
animalia,mollusca,NA,NA,gastropoda,NA,physidae,physella,physella acuta
animalia,mollusca,NA,NA,bivalvia,venerida,sphaeriidae,unknown (sphaeriidae family),unknown (sphaeriidae family)
animalia,arthropoda,crustacea,multicrustacea,hexanauplia,calanoida,diaptomidae,diaptomus,unknown (diaptomus genus)
animalia,arthropoda,hexapoda,NA,insecta,hemiptera,notonectidae,notonecta,unknown (notonecta genus)
animalia,annelida,NA,NA,clitellata,haplotaxida,naididae,tubifex,tubifex tubifex
animalia,arthropoda,crustacea,NA,branchiopoda,diplostraca,daphniidae,daphnia,unknown (daphnia genus)
animalia,arthropoda,crustacea,NA,branchiopoda,diplostraca,moinidae,moina,unknown (moina genus)
