mesocosm,author_first,year,taxa
Ethiopia,Merga,2021,Dytiscidae
Ethiopia,Merga,2021,Notonectidae
Ethiopia,Merga,2021,Physidae
Ethiopia,Merga,2021,Planorbidae
Ethiopia,Merga,2021,Gerridae
Ethiopia,Merga,2021,Culicidae
Ethiopia,Merga,2021,Plea minutissima
Ethiopia,Merga,2021,Corixidae
Ethiopia,Merga,2021,Chironomidae
Ethiopia,Merga,2021,Caenis horaria
Ethiopia,Merga,2021,Cloeon dipterum
China,Van_de_Perre,2021,Dero digitata
China,Van_de_Perre,2021,Glossiphonia sp.
China,Van_de_Perre,2021,Bellamya purificata
China,Van_de_Perre,2021,Angulyagra sp
China,Van_de_Perre,2021,Physa acuta
China,Van_de_Perre,2021,Pomacea sp.
China,Van_de_Perre,2021,Melanoides tuberculata
China,Van_de_Perre,2021,Hippeutis cantori
China,Van_de_Perre,2021,Ferrissidae sp.
China,Van_de_Perre,2021,Zygoptera sp
China,Van_de_Perre,2021,Cloeon sp.
China,Van_de_Perre,2021,Macromia sp.
China,Van_de_Perre,2021,Naucoridae sp.
China,Van_de_Perre,2021,Corixidae sp.
China,Van_de_Perre,2021,Chironomus sp.
China,Van_de_Perre,2021,Nepidae sp.
China,Van_de_Perre,2021,Stratiomyidae sp.
China,Van_de_Perre,2021,Gerris sp.
China,Van_de_Perre,2021,Elmidae
China,Van_de_Perre,2021,Hydrachnellae sp.
Spain,Rico,2018,Simocephalus sp.
Spain,Rico,2018,Chydorus sp.
Spain,Rico,2018,Alona sp.
Spain,Rico,2018,Cyclopoida
Spain,Rico,2018,Echinogammarus sp.
Spain,Rico,2018,Hydrachnidia
Spain,Rico,2018,Elmidae
Spain,Rico,2018,Culicidae
Spain,Rico,2018,Orthocladiinae 
Spain,Rico,2018,Chironomini
Spain,Rico,2018,Cloeon dipterum
Spain,Rico,2018,Anisoptera
Spain,Rico,2018,Zygoptera
Spain,Rico,2018,Notonectidae
Spain,Rico,2018,Trichoptera
Spain,Rico,2018,Physella acuta
Spain,Rico,2018,Sphaeriidae
Bangladesh,Sumon,2018,Diaptomus sp.
Bangladesh,Sumon,2018,Cloeon sp.
Bangladesh,Sumon,2018,Notonecta sp.
Bangladesh,Sumon,2018,Chironomidae
Bangladesh,Sumon,2018,Tubifex tubifex
Bangladesh,Sumon,2018,Daphnia
Bangladesh,Sumon,2018,Moina
Bangladesh,Sumon,2018,Diaphanosoma 
Bangladesh,Sumon,2018,Cyclops
Bangladesh,Sumon,2018,Ranatra linearis
Bangladesh,Sumon,2018,Zygoptera
Bangladesh,Sumon,2018,Melanoides tuberculatus
Bangladesh,Sumon,2018,Viviparus sp.
Bangladesh,Sumon,2018,Lamellidens marginalis
Japan,Kobashi,2017,Eretes griseus
Japan,Kobashi,2017,Guignotus japonicus
Japan,Kobashi,2017,Regimbartia attenuata
Japan,Kobashi,2017,Sternolophus rufipes
Japan,Kobashi,2017,Caenestheriella gifuensis
Japan,Kobashi,2017,Aedes albopictus
Japan,Kobashi,2017,Chironominae sp.
Japan,Kobashi,2017,Tipula aino
Japan,Kobashi,2017,Baetis sp.
Japan,Kobashi,2017,Ansiops sp.
Japan,Kobashi,2017,Notonecta triguttata
Japan,Kobashi,2017,Crocothermis servilla mariannae
Japan,Kobashi,2017,Lyriothermis pachygasta
Japan,Kobashi,2017,Orthertrum albistylum speciosum
Germany,Colombo,2013,Orthocladiinae
Germany,Colombo,2013,Chironominae
Germany,Colombo,2013,Ablabesmyia sp.
Germany,Colombo,2013,Radix sp.
Germany,Colombo,2013,Caenis sp.
Germany,Colombo,2013,Cloeon sp.
Germany,Colombo,2013,Ceratopogonidae
Germany,Colombo,2013,Chaoboridae
Germany,Colombo,2013,Culicidae
Canada,Alexander,2007,Epeorus longimanus
Canada,Alexander,2007,Baetis brunneicolor
Canada,Alexander,2007,Ephemeroptera
Canada,Alexander,2007,Plecoptera
Canada,Alexander,2007,Trichoptera
Canada,Alexander,2007,Coleoptera
Canada,Alexander,2007,Oligochaeta
Canada,Alexander,2007,Diptera
