latin,lconc
acroneuria lycorias,4.010384771
alona affinis,2.586924708
amnicola sp.,2.954242509
utterbackia imbecilis,2.022428371
campeloma decisum,3.273556814
ceriodaphnia reticulata,0.716003344
cherax destructor,3.098539898
chironomus decorus,2.920957706
chironomus riparius,2.392872745
chironomus tentans,2.294906911
corbicula malinensis,3.856414683
corbicula australis,3.708871109
crangonyx pseudogracilis,3.11058971
cypris subglobosa,2.063708559
daphnia ambigua,1.394451681
daphnia magna,1.257678575
daphnia parvula,1.421603927
daphnia pulex,0.944482672
daphnia pulicaria,0.968482949
daphnia rosea,1.838849091
echinogammarus berilloni,1.87909588
gammarus pseudolimnaeus,1.344392274
gammarus pulex,1.322219295
juga livescens,2.220631019
gyraulus circumstriatus,1.749736316
limnodrilus hoffmeisteri,1.725094521
lophopodella carteri,2.130333768
lumbriculus variegatus,2.385069776
macrobrachium sp.,2.310480891
moina dubia,1.283301229
nais sp.,1.954242509
orconectes rusticus,3.145289659
paratya australensis,1.973127854
pectinatella magnifica,1.568201724
philodina acuticornis,2.986368594
physa heterostropha,1.555094449
physa integra,1.63447727
plumatella emarginata,1.568201724
procambarus clarkii,3.298765772
simocephalus serrulatus,1.981818607
tropocyclops prasinus mexicanus,2.713406532
tubifex tubifex,1.514547753
unio angasi,4.290726704
erpobdella testacea,2.213278382
lymnaea stagnalis,3.248007573
macrobrachium lanchesteri,1.907142531
ceriodaphnia dubia,1.050766311
daphnia carinata,1.367355921
chironomus javanus,2.026042721
culex sp.,2.867203438
ecdyonurus torrentis,3.613948202
rhithrogena semicolorata,2.646145034
siphlonurus armatus,1.809963522
nais elinguis,1.246990699
asellus aquaticus,2.764392852
goniobasis (snail) livescens,2.220631019
stenocypris major,1.799960527
melanoides tuberculata,2.825873814
sericostoma personatum,4.118954653
