latin,lconc
asellus aquaticus,0.741
caecidotea sp.,1.193
ceriodaphnia dubia,1.392
daphnia magna,1.609
gammarus pulex,-0.413
hyalella azteca,-0.892
aedes sp.,-1.389
caenis horaria,-1.553
caenis sp.,-1.662
chaetopteryx villosa,-1.941
chaoborus obscuripes,0.718
cheumatopsyche sp.,-0.489
chironomus dilutus,-2.228
chironomus tentans,-2.362
cloeon dipterum,-0.948
cloeon sp.,0.061
coenagrion sp.,0.539
deleatidium sp.,-2.398
epeorus longimanus,-2.848
ephemerella sp.,-1.166
gyrinus sp.,-0.879
heptageniidae,-2.432
hexagenia sp.,0.462
isonychia bicolor,-0.146
maccaffertium sp.,0.258
micrasema sp.,-1.836
neocloeon triangulifer,-2.284
plea minutissima,-0.542
simulium vittatum,-2.092
stenelmis sp.,-0.437
trichocorixa sp.,-0.346
lampsilis fasciola,-0.162
lumbriculus variegatus,-1.343
