latin,lconc
hyalella azteca,-2.638272164
chaoborus obscuripes,-2.552841969
leuctra inermis,-1.958607315
caenis horaria,-1.866461092
notonecta glauca,-1.829738285
proasellus coxalis,-1.752026734
gammarus pulex,-1.740479981
sigara striata,-1.739928612
baetis rhodani,-1.638272164
rhithrogena semicolorata,-1.619788758
anisops sardeus,-1.602059991
asellus aquaticus,-1.595287486
streptocephalus sudanicus,-1.552841969
sialis lutaria,-1.552841969
corixa sp,-1.522878745
cloeon dipterum,-1.512882361
nemoura sp.,-1.508638306
protonemura sp.,-1.366531544
sericostoma personatum,-1.193820026
macropelopia sp.,-1.191789027
daphnia galeata,-0.931814138
ischnura elegans,-0.886056648
ceriodaphnia dubia,-0.522878745
cyclops sp,-0.522878745
aedes aegypti,-0.455931956
daphnia magna,-0.429746571
erythromma viridulum,-0.307153081
simocephalus vetulus,-0.019088062
chironomus riparius,0.380211242
erpobdella octoculata,1.636788689
mysidopsis bahia,-2.397940009
aedes albopictus,2.781807425
anopheles sinensis,1.903089987
anopheles stephensi,2.41302448
caridina laevis,-0.270983404
chironomus dilutus,-1.663969552
culex annulirostris,-0.886056648
culex pipiens,1.720104144
culex quinquefasciatus,-0.17710454
culex tritaeniorhynchus,0.193766097
eurytemora affinis,-1.71219827
macrobrachium lar,-2.110924375
macrobrachium nipponense,-1.462448453
procambarus clarkii,-0.795880017
pseudodiaptomus forbesi,-1.774690718
