"sample","HC5_aj","lower","upper","chem","site_id","date_id","latitude","longitude","brt20","brt20_aggregate","brt12","RT_AF","richness","ta7"
"site_00001_date_00001_miljodata_sweden",93.5930561441764,39.5561138040278,232.313871752571,"ATZ",1,1,6264640,375381,"RT6",NA,"RT04",NA,36,NA
"site_00001_date_00001_monitoring_greece",191.938446726724,112.122290772532,343.997116677678,"ATZ",1,1,2070313.03469821,5509688.70514745,"RT15","RT14_15_16","RT11",NA,22,"G"
"site_00001_date_00001_pepe_barquin",142.926149029494,85.4812450348422,243.273906478736,"ATZ",1,1,2330595.33019628,3246450.91344175,"RT15","RT14_15_16","RT03",NA,49,"G"
"site_00001_date_00275_monitoring_uk",136.565603010467,36.9390778893866,576.102358437668,"ATZ",1,275,3330038.75846399,3721905.66409163,"RT15","RT14_15_16","RT03",NA,18,"G"
"site_00001_date_00276_ebro",168.602680789927,93.0058501670665,328.907753478236,"ATZ",1,276,2225744.14768818,3492166.46010376,"RT15","RT14_15_16","RT10",NA,26,"G"
"site_00002_date_00001_monitoring_greece",146.916961798829,67.9218769302202,362.993782213165,"ATZ",2,1,2070597.48421271,5509081.4814506,"RT15","RT14_15_16","RT11",NA,17,"G"
"site_00002_date_00004_miljodata_sweden",104.399292096932,57.7136072906182,188.572335104943,"ATZ",2,4,6722638,524356,"RT3",NA,"RT05",NA,61,"C"
"site_00002_date_00276_ebro",218.061739668143,142.226945805808,375.705181770628,"ATZ",2,276,2226514.77830969,3496585.58826084,"RT15","RT14_15_16","RT10",NA,21,"G"
"site_00003_date_00001_monitoring_greece",145.498839934423,62.248735067627,389.498605488387,"ATZ",3,1,2076994.15141911,5506272.72383605,"RT15","RT14_15_16","RT11",NA,13,"G"
"site_00003_date_00001_rcs",323.353811044312,130.514477533647,1000.3755363754,"ATZ",3,1,3032228.40281279,3885951.60966809,"RT15","RT14_15_16","RT05",NA,23,"G"
"site_00003_date_00006_naiades",136.585143071276,63.4472828821556,337.753438887453,"ATZ",3,6,3078672.78835432,3739879.53053843,"RT15","RT14_15_16","RT02",NA,40,"G"
