Kingdom,Phylum_division,Subphylum,Superclass,Class,Order,Family,Genus,Latin
metazoa,NA,hexapoda,NA,insecta,coleoptera,dytiscidae,unknown (dytiscidae family),dytiscidae
metazoa,NA,hexapoda,NA,insecta,hemiptera,notonectidae,unknown (notonectidae family),notonectidae
metazoa,NA,NA,NA,gastropoda,NA,physidae,unknown (physidae family),physidae
metazoa,NA,NA,NA,gastropoda,NA,planorbidae,unknown (planorbidae family),planorbidae
metazoa,NA,hexapoda,NA,insecta,hemiptera,gerridae,unknown (gerridae family),gerridae
metazoa,NA,hexapoda,NA,insecta,diptera,culicidae,unknown (culicidae family),culicidae
metazoa,NA,hexapoda,NA,insecta,hemiptera,pleidae,plea,plea minutissima
metazoa,NA,hexapoda,NA,insecta,hemiptera,corixidae,unknown (corixidae family),corixidae
metazoa,NA,hexapoda,NA,insecta,diptera,chironomidae,unknown (chironomidae family),chironomidae
metazoa,NA,hexapoda,NA,insecta,ephemeroptera,caenidae,caenis,caenis horaria
metazoa,NA,hexapoda,NA,insecta,ephemeroptera,baetidae,cloeon,cloeon dipterum
metazoa,NA,NA,NA,clitellata,haplotaxida,naididae,dero,dero digitata
metazoa,NA,NA,NA,clitellata,rhynchobdellida,glossiphoniidae,glossiphonia,glossiphonia
metazoa,NA,NA,NA,gastropoda,architaenioglossa,viviparidae,bellamya,bellamya purificata
metazoa,NA,NA,NA,gastropoda,architaenioglossa,viviparidae,angulyagra,angulyagra
metazoa,NA,NA,NA,gastropoda,NA,physidae,physa,physa acuta
metazoa,NA,NA,NA,gastropoda,architaenioglossa,ampullariidae,pomacea,pomacea
metazoa,NA,NA,NA,gastropoda,NA,thiaridae,melanoides,melanoides tuberculata
metazoa,NA,NA,NA,gastropoda,NA,planorbidae,hippeutis,hippeutis cantori
animalia,NA,NA,NA,NA,NA,NA,NA,ferrissidae
metazoa,NA,hexapoda,NA,insecta,odonata,NA,NA,zygoptera
metazoa,NA,hexapoda,NA,insecta,ephemeroptera,baetidae,cloeon,cloeon
metazoa,NA,hexapoda,NA,insecta,odonata,macromiidae,macromia,macromia
metazoa,NA,hexapoda,NA,insecta,hemiptera,naucoridae,unknown (naucoridae family),naucoridae
metazoa,NA,hexapoda,NA,insecta,diptera,chironomidae,chironomus,chironomus
metazoa,NA,hexapoda,NA,insecta,hemiptera,nepidae,unknown (nepidae family),nepidae
metazoa,NA,hexapoda,NA,insecta,diptera,stratiomyidae,unknown (stratiomyidae family),stratiomyidae
metazoa,NA,hexapoda,NA,insecta,hemiptera,gerridae,gerris,gerris
metazoa,NA,hexapoda,NA,insecta,coleoptera,elmidae,unknown (elmidae family),elmidae
metazoa,NA,chelicerata,NA,arachnida,trombidiformes,NA,NA,hydrachnellae
metazoa,NA,crustacea,NA,branchiopoda,diplostraca,daphniidae,simocephalus,simocephalus
metazoa,NA,crustacea,NA,branchiopoda,diplostraca,chydoridae,chydorus,chydorus
metazoa,NA,crustacea,NA,branchiopoda,diplostraca,chydoridae,alona,alona
metazoa,NA,crustacea,multicrustacea,hexanauplia,cyclopoida,NA,NA,cyclopoida
metazoa,NA,crustacea,multicrustacea,malacostraca,amphipoda,gammaridae,unknown (echinogammarus genus),unknown (echinogammarus genus)
metazoa,NA,chelicerata,NA,arachnida,trombidiformes,NA,NA,hydrachnidia
