"sample_id","site_id","date_id","latitude","longitude","brt20","brt20_aggregate","brt12","richness"
"site_00001_date_00001_monitoring_greece","00001","0001",2070313.03469821,5509688.70514745,"RT15","RT14_15_16","RT11",22
"site_00001_date_00001_pepe_barquin","00001","0001",2330595.33019628,3246450.91344175,"RT15","RT14_15_16","RT03",49
"site_00001_date_00275_monitoring_uk","00001","0275",3330038.75846399,3721905.66409163,"RT15","RT14_15_16","RT03",18
"site_00001_date_00276_ebro","00001","0276",2225744.14768818,3492166.46010376,"RT15","RT14_15_16","RT10",26
"site_00002_date_00001_monitoring_greece","00002","0001",2070597.48421271,5509081.4814506,"RT15","RT14_15_16","RT11",17
"site_00002_date_00276_ebro","00002","0276",2226514.77830969,3496585.58826084,"RT15","RT14_15_16","RT10",21
"site_00003_date_00001_monitoring_greece","00003","0001",2076994.15141911,5506272.72383605,"RT15","RT14_15_16","RT11",13
"site_00003_date_00001_rcs","00003","0001",3032228.40281279,3885951.60966809,"RT15","RT14_15_16","RT05",23
"site_00003_date_00006_naiades","00003","0006",3078672.78835432,3739879.53053843,"RT15","RT14_15_16","RT02",40
"site_00003_date_00350_ebro","00003","0350",2216591.29108727,3518010.03429072,"RT15","RT14_15_16","RT10",32
"site_00004_date_00001_pepe_barquin","00004","0001",2339125.97226749,3220087.11588119,"RT18","RT8_10_11_18","RT02",34
"site_00004_date_00003_rcs","00004","0003",3032228.40281279,3885951.60966809,"RT18","RT8_10_11_18","RT05",23
"site_00004_date_00261_ebro","00004","0261",2208671.8531193,3511185.17878758,"RT18","RT8_10_11_18","RT11",44
"site_00005_date_00001_pepe_barquin","00005","0001",2339748.2224939,3226989.63810476,"RT15","RT14_15_16","RT02",48
"site_00005_date_00350_ebro","00005","0350",2215548.82340067,3518962.65619797,"RT15","RT14_15_16","RT10",37
"site_00006_date_00001_pepe_barquin","00006","0001",2337790.73144599,3232323.63783154,"RT5","RT4_5","RT02",41
"site_00006_date_00012_naiades","00006","0012",2995709.97933164,3818744.72007728,"RT5","RT4_5","RT03",32
"site_00007_date_00001_pepe_barquin","00007","0001",2340249.42440817,3234041.87390298,"RT4","RT4_5","RT02",45
"site_00008_date_00001_pepe_barquin","00008","0001",2346487.7054425,3236435.95593302,"RT18","RT8_10_11_18","RT02",46
"site_00008_date_00351_ebro","00008","0351",2198712.48309118,3509609.30834693,"RT18","RT8_10_11_18","RT11",31
"site_00009_date_00351_ebro","00009","0351",2198574.40734863,3509367.91853541,"RT18","RT8_10_11_18","RT11",31
"site_00010_date_00341_ebro","00010","0341",2184203.96505,3511792.95077042,"RT18","RT8_10_11_18","RT11",27
"site_00011_date_00009_monitoring_croatia","00011","0009",2451165.93092429,4638116.68241622,"RT14","RT14_15_16","RT11",14
"site_00012_date_00264_monitoring_poland","00012","0264",3436701.74181583,5105037.65225598,"RT18","RT8_10_11_18","RT02",24
"site_00012_date_00267_ebro","00012","0267",2236545.70500385,3401977.90755403,"RT18","RT8_10_11_18","RT11",26
"site_00013_date_00268_ebro","00013","0268",2245162.26817088,3420414.76293964,"RT18","RT8_10_11_18","RT11",37
"site_00014_date_00363_ebro","00014","0363",2237137.16444344,3418705.70898143,"RT18","RT8_10_11_18","RT11",41
"site_00014_date_00534_monitoring_poland","00014","0534",3412067.03712823,5109396.29689258,"RT18","RT8_10_11_18","RT02",22
"site_00015_date_00019_naiades","00015","0019",3032229.40881534,3885955.06028517,"RT18","RT8_10_11_18","RT05",18
"site_00015_date_00362_ebro","00015","0362",2232782.78666034,3434016.88173034,"RT18","RT8_10_11_18","RT11",44
"site_00016_date_00280_ebro","00016","0280",2258850.98379251,3438158.77706221,"RT14","RT14_15_16","RT10",38
"site_00017_date_00001_pepe_barquin","00017","0001",2337144.27772034,3234813.92327417,"RT12","RT12","RT02",43
"site_00017_date_00005_aqem_Sweden","00017","0005",4131410.56447693,4577713.46383193,"RT12","RT12","RT09",18
"site_00017_date_00278_ebro","00017","0278",2231611.8777376,3442092.92732519,"RT12","RT12","RT11",40
"site_00017_date_00531_monitoring_poland","00017","0531",3362005.23887125,5162902.36202965,"RT12","RT12","RT02",17
"site_00019_date_00001_pepe_barquin","00019","0001",2340538.12611119,3126010.35172966,"RT15","RT14_15_16","RT08",28
"site_00019_date_00280_ebro","00019","0280",2256014.24221526,3446667.03017997,"RT15","RT14_15_16","RT10",34
"site_00020_date_00001_pepe_barquin","00020","0001",2343975.71941348,3134832.96570343,"RT19","RT19","RT08",39
"site_00020_date_00279_ebro","00020","0279",2237090.93231513,3451011.38596432,"RT19","RT19","RT12",39
"site_00021_date_00001_pepe_barquin","00021","0001",2347369.28541956,3139793.94153739,"RT19","RT19","RT08",51
"site_00021_date_00278_ebro","00021","0278",2238313.25898031,3447253.57433213,"RT19","RT19","RT12",39
"site_00022_date_00014_monitoring_poland","00022","0014",3485501.01246527,4814387.30646002,"RT18","RT8_10_11_18","RT05",19
"site_00022_date_00278_ebro","00022","0278",2224423.26252393,3454906.23767425,"RT18","RT8_10_11_18","RT11",44
"site_00023_date_00007_aqem_Sweden","00023","0007",4279409.86877032,4501724.11456,"RT9","RT9","RT09",11
"site_00023_date_00014_monitoring_poland","00023","0014",3501447.95398506,4845083.37889532,"RT9","RT9","RT04",21
"site_00024_date_00001_pepe_barquin","00024","0001",2318644.9378357,3174140.69696232,"RT7","RT7","RT10",31
"site_00024_date_00544_monitoring_poland","00024","0544",3403873.52614637,5137928.81309457,"RT7","RT7","RT02",17
"site_00025_date_00278_ebro","00025","0278",2222609.04593122,3450804.35165426,"RT18","RT8_10_11_18","RT11",45
"site_00026_date_00234_monitoring_poland","00026","0234",3422978.52562027,5147519.163334,"RT7","RT7","RT02",26
"site_00027_date_00001_pepe_barquin","00027","0001",2358071.18343498,3161942.30838862,"RT14","RT14_15_16","RT04",41
"site_00027_date_00248_monitoring_poland","00027","0248",3383245.77506746,5208453.612572,"RT14","RT14_15_16","RT02",14
"site_00028_date_00001_pepe_barquin","00028","0001",2336858.13690013,3133952.3998508,"RT3","RT3","RT09",29
"site_00028_date_00014_monitoring_poland","00028","0014",3505484.13375479,4840961.41735613,"RT3","RT3","RT05",18
"site_00029_date_00001_pepe_barquin","00029","0001",2331856.78346966,3229102.98725619,"RT18","RT8_10_11_18","RT02",40
"site_00029_date_00008_naiades","00029","0008",3076596.93791153,3740092.83479427,"RT18","RT8_10_11_18","RT03",37
"site_00029_date_00275_ebro","00029","0275",2192777.37342752,3434314.47303569,"RT18","RT8_10_11_18","RT11",39
"site_00030_date_00001_pepe_barquin","00030","0001",2321624.21221027,3161178.55867038,"RT9","RT9","RT10",35
"site_00030_date_00008_aqem_Sweden","00030","0008",4320441.27503887,4566780.85359849,"RT9","RT9","RT09",22
"site_00030_date_00595_ebro","00030","0595",2198311.32203633,3434819.65147855,"RT9","RT9","RT11",30
"site_00031_date_00275_ebro","00031","0275",2206452.68594405,3444544.98028307,"RT18","RT8_10_11_18","RT11",39
"site_00031_date_00290_monitoring_poland","00031","0290",3447996.77076836,5155183.16402116,"RT18","RT8_10_11_18","RT02",19
"site_00032_date_00715_ebro","00032","0715",2204463.02372407,3456968.93670144,"RT18","RT8_10_11_18","RT11",38
"site_00033_date_00001_pepe_barquin","00033","0001",2339474.76619277,3211651.71182454,"RT18","RT8_10_11_18","RT07",36
"site_00033_date_00277_ebro","00033","0277",2207596.2407572,3462971.5951982,"RT18","RT8_10_11_18","RT11",45
"site_00033_date_00586_monitoring_poland","00033","0586",3467656.17771071,5159494.91490617,"RT18","RT8_10_11_18","RT04",26
"site_00034_date_00001_pepe_barquin","00034","0001",2344410.83754893,3213197.1248877,"RT6","RT6","RT02",45
"site_00034_date_00009_aqem_Sweden","00034","0009",4454239.32401538,4677837.33853161,"RT6","RT6","RT05",12
"site_00034_date_00264_ebro","00034","0264",2192887.96604252,3475785.85859598,"RT6","RT6","RT11",44
"site_00035_date_00001_pepe_barquin","00035","0001",2350859.61727625,3211990.05814289,"RT18","RT8_10_11_18","RT02",34
"site_00035_date_00003_monitoring_portugual","00035","0003",1966731.57153033,2838464.25969362,"RT18","RT8_10_11_18","RT12",29
"site_00035_date_00264_ebro","00035","0264",2202486.61125461,3468621.42648139,"RT18","RT8_10_11_18","RT11",33
"site_00036_date_00001_pepe_barquin","00036","0001",2357015.6492937,3214071.74530281,"RT14","RT14_15_16","RT02",52
"site_00036_date_00353_ebro","00036","0353",2245994.71222338,3476142.22241913,"RT14","RT14_15_16","RT10",33
"site_00037_date_00001_pepe_barquin","00037","0001",2334917.70744766,3151389.42449767,"RT4","RT4_5","RT10",40
"site_00037_date_00003_monitoring_portugual","00037","0003",1804884.0381598,2692606.08078424,"RT4","RT4_5","RT11",22
"site_00037_date_00020_monitoring_poland","00037","0020",3400215.75632595,5234448.79214989,"RT4","RT4_5","RT02",23
"site_00039_date_00010_aqem_Sweden","00039","0010",4297091.96477974,4650056.01755536,"RT6","RT6","RT05",17
"site_00039_date_00264_monitoring_poland","00039","0264",3368699.71992133,5240217.09234555,"RT6","RT6","RT04",22
"site_00040_date_00001_pepe_barquin","00040","0001",2356986.28391943,3152545.79725709,"RT14","RT14_15_16","RT04",42
"site_00040_date_00353_ebro","00040","0353",2239279.98012108,3476368.59881157,"RT14","RT14_15_16","RT10",35
"site_00041_date_00003_monitoring_portugual","00041","0003",1916188.15818768,2818174.89929637,"RT19","RT19","RT12",17
"site_00042_date_00001_pepe_barquin","00042","0001",2330957.28641162,3206026.89906265,"RT9","RT9","RT07",37
"site_00042_date_00011_aqem_Sweden","00042","0011",4292562.17773673,4664263.6241586,"RT9","RT9","RT09",27
"site_00043_date_00001_pepe_barquin","00043","0001",2332699.94976516,3199647.11828474,"RT6","RT6","RT06",47
"site_00043_date_00011_aqem_Sweden","00043","0011",4202722.70773988,4642351.58550891,"RT6","RT6","RT05",24
"site_00044_date_00248_monitoring_poland","00044","0248",3386171.22358554,5204343.05033294,"RT4","RT4_5","RT02",21
