"sample_id","site_id","date_id","latitude","longitude","brt20","brt12","richness","ta7"
"site_00001_date_00001_monitoring_greece",1,1,2070313.035,5509688.705,"RT15","RT11",22,"G"
"site_00001_date_00001_pepe_barquin",1,1,2330595.33,3246450.913,"RT15","RT03",49,"G"
"site_00001_date_00275_monitoring_uk",1,275,3330038.758,3721905.664,"RT15","RT03",18,"G"
"site_00001_date_00276_ebro",1,276,2225744.148,3492166.46,"RT15","RT10",26,"G"
"site_00002_date_00001_monitoring_greece",2,1,2070597.484,5509081.481,"RT15","RT11",17,"G"
"site_00002_date_00276_ebro",2,276,2226514.778,3496585.588,"RT15","RT10",21,"G"
"site_00003_date_00001_monitoring_greece",3,1,2076994.151,5506272.724,"RT15","RT11",13,"G"
"site_00003_date_00001_rcs",3,1,3032228.403,3885951.61,"RT15","RT05",23,"G"
"site_00003_date_00006_naiades",3,6,3078672.788,3739879.531,"RT15","RT02",40,"G"
"site_00003_date_00350_ebro",3,350,2216591.291,3518010.034,"RT15","RT10",32,"G"
"site_00004_date_00001_pepe_barquin",4,1,2339125.972,3220087.116,"RT18","RT02",34,"E"
"site_00004_date_00003_rcs",4,3,3032228.403,3885951.61,"RT18","RT05",23,"E"
"site_00004_date_00261_ebro",4,261,2208671.853,3511185.179,"RT18","RT11",44,"E"
"site_00005_date_00001_pepe_barquin",5,1,2339748.222,3226989.638,"RT15","RT02",48,"G"
"site_00005_date_00350_ebro",5,350,2215548.823,3518962.656,"RT15","RT10",37,"G"
"site_00006_date_00001_pepe_barquin",6,1,2337790.731,3232323.638,"RT5","RT02",41,"D"
"site_00006_date_00012_naiades",6,12,2995709.979,3818744.72,"RT5","RT03",32,"D"
"site_00007_date_00001_pepe_barquin",7,1,2340249.424,3234041.874,"RT4","RT02",45,"D"
"site_00008_date_00001_pepe_barquin",8,1,2346487.705,3236435.956,"RT18","RT02",46,"E"
"site_00008_date_00351_ebro",8,351,2198712.483,3509609.308,"RT18","RT11",31,"E"
"site_00009_date_00351_ebro",9,351,2198574.407,3509367.919,"RT18","RT11",31,"E"
"site_00010_date_00341_ebro",10,341,2184203.965,3511792.951,"RT18","RT11",27,"E"
"site_00011_date_00009_monitoring_croatia",11,9,2451165.931,4638116.682,"RT14","RT11",14,"G"
"site_00012_date_00264_monitoring_poland",12,264,3436701.742,5105037.652,"RT18","RT02",24,"E"
"site_00012_date_00267_ebro",12,267,2236545.705,3401977.908,"RT18","RT11",26,"E"
"site_00013_date_00268_ebro",13,268,2245162.268,3420414.763,"RT18","RT11",37,"E"
"site_00014_date_00363_ebro",14,363,2237137.164,3418705.709,"RT18","RT11",41,"E"
"site_00014_date_00534_monitoring_poland",14,534,3412067.037,5109396.297,"RT18","RT02",22,"E"
"site_00015_date_00019_naiades",15,19,3032229.409,3885955.06,"RT18","RT05",18,"E"
"site_00015_date_00362_ebro",15,362,2232782.787,3434016.882,"RT18","RT11",44,"E"
"site_00016_date_00280_ebro",16,280,2258850.984,3438158.777,"RT14","RT10",38,"G"
"site_00017_date_00001_pepe_barquin",17,1,2337144.278,3234813.923,"RT12","RT02",43,NA
"site_00017_date_00005_aqem_Sweden",17,5,4131410.564,4577713.464,"RT12","RT09",18,NA
"site_00017_date_00278_ebro",17,278,2231611.878,3442092.927,"RT12","RT11",40,NA
"site_00017_date_00531_monitoring_poland",17,531,3362005.239,5162902.362,"RT12","RT02",17,NA
"site_00019_date_00001_pepe_barquin",19,1,2340538.126,3126010.352,"RT15","RT08",28,"G"
"site_00019_date_00280_ebro",19,280,2256014.242,3446667.03,"RT15","RT10",34,"G"
"site_00020_date_00001_pepe_barquin",20,1,2343975.719,3134832.966,"RT19","RT08",39,NA
"site_00020_date_00279_ebro",20,279,2237090.932,3451011.386,"RT19","RT12",39,NA
"site_00021_date_00001_pepe_barquin",21,1,2347369.285,3139793.942,"RT19","RT08",51,NA
"site_00021_date_00278_ebro",21,278,2238313.259,3447253.574,"RT19","RT12",39,NA
"site_00022_date_00014_monitoring_poland",22,14,3485501.012,4814387.306,"RT18","RT05",19,"E"
"site_00022_date_00278_ebro",22,278,2224423.263,3454906.238,"RT18","RT11",44,"E"
"site_00023_date_00007_aqem_Sweden",23,7,4279409.869,4501724.115,"RT9","RT09",11,"F"
"site_00023_date_00014_monitoring_poland",23,14,3501447.954,4845083.379,"RT9","RT04",21,"F"
"site_00024_date_00001_pepe_barquin",24,1,2318644.938,3174140.697,"RT7","RT10",31,NA
"site_00024_date_00544_monitoring_poland",24,544,3403873.526,5137928.813,"RT7","RT02",17,NA
"site_00025_date_00278_ebro",25,278,2222609.046,3450804.352,"RT18","RT11",45,"E"
"site_00026_date_00234_monitoring_poland",26,234,3422978.526,5147519.163,"RT7","RT02",26,NA
"site_00027_date_00001_pepe_barquin",27,1,2358071.183,3161942.308,"RT14","RT04",41,"G"
"site_00027_date_00248_monitoring_poland",27,248,3383245.775,5208453.613,"RT14","RT02",14,"G"
"site_00028_date_00001_pepe_barquin",28,1,2336858.137,3133952.4,"RT3","RT09",29,"C"
"site_00028_date_00014_monitoring_poland",28,14,3505484.134,4840961.417,"RT3","RT05",18,"C"
"site_00029_date_00001_pepe_barquin",29,1,2331856.783,3229102.987,"RT18","RT02",40,"E"
"site_00029_date_00008_naiades",29,8,3076596.938,3740092.835,"RT18","RT03",37,"E"
"site_00029_date_00275_ebro",29,275,2192777.373,3434314.473,"RT18","RT11",39,"E"
"site_00030_date_00001_pepe_barquin",30,1,2321624.212,3161178.559,"RT9","RT10",35,"F"
"site_00030_date_00008_aqem_Sweden",30,8,4320441.275,4566780.854,"RT9","RT09",22,"F"
"site_00030_date_00595_ebro",30,595,2198311.322,3434819.651,"RT9","RT11",30,"F"
