"Kingdom","Phylum_division","Subphylum","Superclass","Class","Order","Family","Genus","Latin"
"animalia","arthropoda",NA,NA,"insecta","diptera","chironomidae","brillia","brillia immaculata"
"animalia","arthropoda",NA,NA,"insecta","diptera","pediciidae","dicranota","unknown (dicranota genus)"
"animalia","annelida",NA,NA,"clitellata","crassiclitellata","lumbricidae","eiseniella","eiseniella tetraedra"
"animalia","arthropoda",NA,NA,"insecta","ephemeroptera","ephemerellidae","serratella","serratella ignita"
"animalia","arthropoda",NA,NA,"insecta","plecoptera","leuctridae","leuctra","unknown (leuctra genus)"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","hydropsychidae","hydropsyche","hydropsyche angustipennis"
"animalia","annelida",NA,NA,"oligochaeta","haplotaxida","tubificidae","limnodrilus","limnodrilus hoffmeisteri"
"animalia","annelida",NA,NA,"oligochaeta","haplotaxida","tubificidae","tubifex","tubifex tubifex"
"animalia","arthropoda",NA,NA,"malacostraca","amphipoda","gammaridae","gammarus","gammarus balcanicus"
"animalia","arthropoda",NA,NA,"insecta","coleoptera","elmidae","elmis","unknown (elmis genus)"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","rhyacophilidae","rhyacophila","rhyacophila nubila"
"animalia","annelida",NA,NA,"clitellata","lumbriculida","lumbriculidae","stylodrilus","stylodrilus heringianus"
"animalia","arthropoda",NA,NA,"insecta","ephemeroptera","caenidae","caenis","caenis rivulorum"
"animalia","arthropoda",NA,NA,"insecta","coleoptera","elmidae","limnius","unknown (limnius genus)"
"animalia","arthropoda",NA,NA,"insecta","ephemeroptera","ephemeridae","ephemera","ephemera danica"
"animalia","nemata","unknown (nematoda phylum)","unknown (nematoda phylum)","unknown (nematoda phylum)","unknown (nematoda phylum)","unknown (nematoda phylum)","unknown (nematoda phylum)","unknown (nematoda phylum)"
"animalia","arthropoda",NA,NA,"insecta","diptera","ceratopogonidae","unknown (ceratopogonidae family)","unknown (ceratopogonidae family)"
"animalia","arthropoda",NA,NA,"insecta","ephemeroptera","leptophlebiidae","habroleptoides","habroleptoides confusa"
"animalia","arthropoda",NA,NA,"insecta","diptera","chironomidae","polypedilum","polypedilum convictum"
"animalia","annelida",NA,NA,"oligochaeta","haplotaxida","enchytraeidae","fridericia","unknown (fridericia genus)"
"animalia","annelida",NA,NA,"oligochaeta","haplotaxida","enchytraeidae","cognettia","cognettia glandulosa"
"animalia","arthropoda",NA,NA,"insecta","diptera","chironomidae","conchapelopia","unknown (conchapelopia genus)"
"animalia","arthropoda",NA,NA,"insecta","ephemeroptera","baetidae","baetis","baetis rhodani"
"animalia","arthropoda",NA,NA,"insecta","diptera","simuliidae","simulium","unknown (simulium genus)"
"animalia","arthropoda",NA,NA,"insecta","plecoptera","perlidae","perla","unknown (perla genus)"
"animalia","arthropoda",NA,NA,"insecta","ephemeroptera","heptageniidae","ecdyonurus","ecdyonurus venosus"
"animalia","arthropoda",NA,NA,"insecta","diptera","chironomidae","prodiamesa","prodiamesa olivacea"
"animalia","arthropoda",NA,NA,"arachnida","trombidiformes","lebertiidae","lebertia","unknown (lebertia genus)"
"animalia","arthropoda",NA,NA,"insecta","coleoptera","hydraenidae","hydraena","unknown (hydraena genus)"
"animalia","arthropoda",NA,NA,"insecta","diptera","chironomidae","micropsectra","unknown (micropsectra genus)"
"animalia","arthropoda",NA,NA,"insecta","coleoptera","elmidae","elmis","elmis aenea"
"animalia","arthropoda",NA,NA,"insecta","diptera","chironomidae","cricotopus","cricotopus tremulus"
"animalia","annelida",NA,NA,"oligochaeta","haplotaxida","naididae","potamothrix","unknown (potamothrix genus)"
"animalia","arthropoda",NA,NA,"insecta","diptera","chironomidae","parametriocnemus","unknown (parametriocnemus genus)"
"animalia","arthropoda",NA,NA,"insecta","diptera","limoniidae","hexatoma","unknown (hexatoma genus)"
"animalia","arthropoda",NA,NA,"insecta","diptera","chironomidae","virgatanytarsus","unknown (virgatanytarsus genus)"
"animalia","arthropoda",NA,NA,"insecta","odonata","gomphidae","onychogomphus","onychogomphus forcipatus"
"animalia","arthropoda",NA,NA,"insecta","heteroptera","gerridae","gerris","unknown (gerris genus)"
"animalia","arthropoda",NA,NA,"insecta","diptera","tabanidae","tabanus","unknown (tabanus genus)"
"animalia","arthropoda",NA,NA,"insecta","ephemeroptera","baetidae","procloeon","procloeon pennulatum"
"animalia","arthropoda",NA,NA,"insecta","coleoptera","hydrophilidae","laccobius","unknown (laccobius genus)"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","goeridae","silo","silo nigricornis"
"animalia","arthropoda",NA,NA,"insecta","odonata","calopterygidae","calopteryx","calopteryx splendens"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","hydroptilidae","hydroptila","hydroptila sparsa"
